otherlines_id,type,existenceconfidence,identityconfidence,locationconfidencemeters,label,datasourceid,notes,symbol
GMA.OtherLines.362,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.364,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.366,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.400,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.402,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.404,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.406,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.408,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.410,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.412,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.414,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.416,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.418,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.420,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.422,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.424,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.426,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.428,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.368,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.370,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.372,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.374,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.376,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.378,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.380,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.382,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.384,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.386,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.430,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.434,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.436,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.438,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.440,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.442,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.444,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.446,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.448,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.450,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.482,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.484,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.486,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.488,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.490,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.492,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.494,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.496,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.498,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.500,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.502,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
GMA.OtherLines.504,Map Boundary,Standard Confidence,Standard Confidence,0,Map Boundary,GMA.DataSources.171,,321
