standardlithology_id,mapunit,parttype,lithology,proportionterm,proportionvalue,scientificconfidence,datasourceid
GMA.StandardLithology.151,TKgm,Not Assigned,Peraluminous rock,Subordinate,0,Standard Confidence,GMA.DataSources.200
GMA.StandardLithology.150,TKgm,Not Assigned,Granitic rock (granitoid),Dominant,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.134,TKg,Not Assigned,Granitic rock (granitoid),Dominant,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.136,Kv,Not Assigned,Rhyolitic rock,Minor,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.137,Kv,Not Assigned,Volcanic-lithic sedimentary rock (tuffite),Subordinate,0,Standard Confidence,GMA.DataSources.196
GMA.StandardLithology.138,Kv,Not Assigned,Dacitic rock,Present,0,Standard Confidence,GMA.DataSources.194
GMA.StandardLithology.139,Kv,Not Assigned,Andesitic rock,Present,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.140,Kv,Not Assigned,Welded tuff,Subordinate,0,Standard Confidence,GMA.DataSources.200
GMA.StandardLithology.135,Kv,Not Assigned,Basaltic rock,Minor,0,Standard Confidence,GMA.DataSources.194
GMA.StandardLithology.158,KJo,Not Assigned,Quartzo feldspathic layered gneiss,Dominant,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.157,KJo,Not Assigned,Greenschist,Not specified,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.156,KJo,Not Assigned,Quartz feldspar schist,Dominant,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.3,KJs,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.2,KJs,Not Assigned,Mudstone (mudrock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.1,KJs,Not Assigned,Limestone,Minor,0,Standard Confidence,GMA.DataSources.205
GMA.StandardLithology.5,KJs,Not Assigned,Sandstone (sandy rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
